2020-04-10 11:59:47.252[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-10 11:59:47.259[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 11:59:47.261[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-10 11:59:47.382[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.generator.demo.MybatisGeneratorDemoApplication for test class com.mybatis.generator.demo.mapper.MessageMapperTest
2020-04-10 11:59:47.488[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-10 11:59:47.504[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@43f82e78, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e54303, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e8df99a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2dc995f4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f40e5db, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@517566b, org.springframework.test.context.event.EventPublishingTestExecutionListener@64b73e7a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@530712d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2df6226d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@12ed9db6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4ff4357f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@49cb9cb5]
2020-04-10 11:59:47.793[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - Starting MessageMapperTest on DESKTOP-7FGB2I0 with PID 18672 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 11:59:47.794[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 11:59:48.216[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 11:59:48.504[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 11:59:48.674[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
